latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.89905,76.757,334.6,0.61,0.54,2021-04-04,0830,N,VIIRS,l,2.0NRT,308.8,5.3,D
30.88965,76.7646,333.5,0.61,0.54,2021-04-04,0830,N,VIIRS,l,2.0NRT,308.1,3.5,D
31.01987,76.66409,346.6,0.5,0.41,2021-04-05,0812,N,VIIRS,n,2.0NRT,296.5,18.1,D
31.02007,76.66147,346.9,0.5,0.41,2021-04-05,0812,N,VIIRS,n,2.0NRT,299.2,18,D
30.88167,75.99475,302.4,0.39,0.36,2021-04-05,2036,N,VIIRS,n,2.0NRT,289.4,0.7,N
31.50843,76.03464,333.9,0.56,0.43,2021-04-07,0736,N,VIIRS,n,2.0NRT,303.2,4.6,D
31.51234,76.03358,334.5,0.56,0.43,2021-04-07,0736,N,VIIRS,n,2.0NRT,302.6,7.4,D
32.22094,75.48578,339.5,0.39,0.44,2021-04-07,0736,N,VIIRS,n,2.0NRT,305.9,2.9,D
32.22491,75.48468,332.1,0.39,0.44,2021-04-07,0736,N,VIIRS,l,2.0NRT,302.6,2.9,D
32.41325,75.77478,299.5,0.61,0.54,2021-04-08,2118,N,VIIRS,n,2.0NRT,288.4,1.3,N
31.28475,76.15147,336.7,0.35,0.57,2021-04-09,0836,N,VIIRS,l,2.0NRT,310.2,2.9,D
31.22206,76.55087,336.4,0.37,0.58,2021-04-09,0836,N,VIIRS,l,2.0NRT,307.3,2.5,D
31.21832,76.55122,340.6,0.37,0.58,2021-04-09,0836,N,VIIRS,n,2.0NRT,309.8,2.2,D
31.22235,76.55484,336.1,0.37,0.58,2021-04-09,0836,N,VIIRS,l,2.0NRT,309.8,2.5,D
31.22374,76.55062,337.7,0.37,0.58,2021-04-09,0836,N,VIIRS,n,2.0NRT,308.3,2.1,D
31.28129,76.15311,349.4,0.35,0.57,2021-04-09,0836,N,VIIRS,n,2.0NRT,311.9,6.2,D
31.22401,76.55458,338.3,0.37,0.58,2021-04-09,0836,N,VIIRS,n,2.0NRT,310.1,2.1,D
31.27946,76.15208,344,0.35,0.57,2021-04-09,0836,N,VIIRS,n,2.0NRT,312,2.9,D
30.98218,76.59507,307.7,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,287.7,4.8,N
30.97819,76.59393,311.5,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,289.1,4.8,N
